"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              FLOW","            FLOW_G","            FLOW_L","            FLOW_N","     FDIFF_WATER_L","        FDIFF_O2_L","    FDIFF_Toluen_L"
"                  ","                  ","               (M)","               (M)","               (M)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)"
"TIME [sec]  0.10000000E+03"
"               a 1","               b 1",  0.10000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.61529591922E-028
"               b 1","               c 1",  0.20000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               c 1","               d 1",  0.30000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               d 1","               e 1",  0.40000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               e 1","               f 1",  0.50000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               f 1","               g 1",  0.60000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               g 1","               h 1",  0.70000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               h 1","               i 1",  0.80000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               i 1","               j 1",  0.90000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
